#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="treeLikelihood" spec="beast.evolution.likelihood.TreeLikelihood">
#        <data filter="-" id="alignment" spec="beast.evolution.alignment.FilteredAlignment">
#        </data>
#        <tree id="tree" nTypes="15" spec="beast.evolution.tree.StructuredCoalescentMultiTypeTreeConcise">
#            <migrationModelUniform id="MigrationModelUniform" minDemes="10" spec="beast.evolution.tree.MigrationModelUniform">
#                <parameter id="RealParameter" name="rate">0.0036900369003690036</parameter>
#                <parameter id="RealParameter1" name="popSize">1.0</parameter>
#                <numDemes id="IntegerParameter" spec="beast.core.parameter.IntegerParameter">15</numDemes>
#            </migrationModelUniform>
#            <trait id="typeTraitSet" spec="beast.evolution.tree.TraitSetWithLimits" traitname="type" value="IP6b-54=IP6b,IP7-57=IP7,IP4b-44=IP4b,IP2c-7=IP2c,IP3c-46=IP3c,IP2b-6=IP2b,IP8-62=IP8,IP3b-43=IP3b,IP1b-4=IP1b,IP5-51=IP5,IP1b-3=IP1b">
#                <taxa alignment="@alignment" id="TaxonSet" spec="beast.evolution.alignment.TaxonSet"/>
#            </trait>
#            <trait id="timeTraitSet" spec="beast.evolution.tree.TraitSetWithLimits" traitname="date-forward" value="IP6b-54=54.0,IP7-57=57.0,IP2c-7=7.0,IP4b-44=44.0,IP1b-3=3.0,IP3c-46=46.0,IP8-62=62.0,IP2b-6=6.0,IP1b-4=4.0,IP5-51=51.0,IP3b-43=43.0">
#                <taxa alignment="@alignment" id="TaxonSet1" spec="beast.evolution.alignment.TaxonSet"/>
#            </trait>
#        </tree>
#        <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#            <parameter id="mutationRate" name="mutationRate">1.0</parameter>
#            <substModel id="HKY" spec="beast.evolution.substitutionmodel.HKY">
#                <parameter id="hky.kappa" name="kappa">1.0</parameter>
#                <frequencies estimate="false" id="Frequencies" spec="beast.evolution.substitutionmodel.Frequencies">
#                    <parameter dimension="4" id="HKY.freq" name="frequencies">0.25 0.25 0.25 0.25</parameter>
#                </frequencies>
#            </substModel>
#        </siteModel>
#    </distribution>
#    <distribution id="treePrior" limitedLifespan="false" multiTypeTreeConcise="@tree" spec="multitypetreeVolz.distributions.StructuredCoalescentTreeDensityNew">
#        <migrationModelUniform id="migModel" minDemes="10" spec="beast.evolution.tree.MigrationModelUniform">
#            <parameter id="rate" name="rate">0.0036900369003690036</parameter>
#            <parameter id="popSize" name="popSize">1.0</parameter>
#            <numDemes id="numDemes" lower="10" spec="beast.core.parameter.IntegerParameter" upper="20">15</numDemes>
#            <trait id="startInfectionsTraitSet" spec="multitypetreeVolz.util.InfectionTraitSet" taxaDates="@timeTraitSet" taxaTypes="@typeTraitSet" traitname="date-forward" type="start" value="IP3b=23.0,IP6b=33.0,IP2b=-16.0,IP1b=-26.0,IP4b=19.0,IP8=43.0,IP7=35.0,IP5=-3.0,IP3c=25.0,IP2c=-9.0"/>
#            <trait id="endInfectionsTraitSet" spec="multitypetreeVolz.util.InfectionTraitSet" taxaDates="@timeTraitSet" taxaTypes="@typeTraitSet" traitname="date-forward" type="end" value="IP3b=46.0,IP6b=55.0,IP2b=9.0,IP1b=7.0,IP4b=47.0,IP8=63.0,IP7=58.0,IP5=52.0,IP3c=48.0,IP2c=10.0"/>
#        </migrationModelUniform>
#    </distribution>
#    <distribution id="parameterPriors" spec="beast.core.util.CompoundDistribution">
#        <distribution id="Prior" spec="beast.math.distributions.Prior" x="@mutationRate">
#            <distr id="LogNormalDistributionModel" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter id="RealParameter2" lower="0.0" name="M" upper="0.0">-3.0</parameter>
#                <parameter id="RealParameter3" lower="0.0" name="S" upper="0.0">6.0</parameter>
#            </distr>
#        </distribution>
#        <distribution id="Prior1" spec="beast.math.distributions.Prior" x="@popSize">
#            <distr id="LogNormalDistributionModel1" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter id="RealParameter4" lower="0.0" name="M" upper="0.0">0.0</parameter>
#                <parameter id="RealParameter5" lower="0.0" name="S" upper="0.0">6.0</parameter>
#            </distr>
#        </distribution>
#        <distribution id="Prior2" spec="beast.math.distributions.Prior" x="@rate">
#            <distr id="LogNormalDistributionModel2" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter id="RealParameter6" lower="0.0" name="M" upper="0.0">-5.602118820879701</parameter>
#                <parameter id="RealParameter7" lower="0.0" name="S" upper="0.0">0.2</parameter>
#            </distr>
#        </distribution>
#        <distribution id="Prior3" spec="beast.math.distributions.Prior" x="@hky.kappa">
#            <distr id="LogNormalDistributionModel3" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter id="RealParameter8" lower="0.0" name="M" upper="0.0">0.0</parameter>
#                <parameter id="RealParameter9" lower="0.0" name="S" upper="0.0">4.0</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	treeLikelihood	migModel.popSize	migModel.rateMig	migModel.numPops	mutationRate	tree.height	HKY.freq1	HKY.freq2	HKY.freq3	HKY.freq4	hky.kappa
0	-123736.41810448714	-123658.02748621951	1.0	0.00369004	15	1.0	162.9325509707288	0.25	0.25	0.25	0.25	1.0
2000	-66887.31302323141	-66853.63036339683	0.6127831320117378	0.00572827	10	0.28959891085325706	64.86631220325964	0.2421573492879311	0.2640215678389104	0.24382108287315848	0.25	0.7067025316408824
4000	-40619.55777501421	-40586.41795769774	0.4402271201925856	0.00558494	12	0.10190861615391901	59.62888575210324	0.2496319419960809	0.2640215678389104	0.24382108287315848	0.24252540729185018	0.7067025316408824
6000	-27425.038435828745	-27410.83105283924	0.1273151388699931	0.00482655	10	0.041006828650103605	59.012967210014686	0.2500862591686591	0.2640215678389104	0.24382108287315848	0.24207109011927194	0.7067025316408824
8000	-16509.333082154037	-16511.361541226623	0.031253750415811354	0.00457179	10	0.010842133665593886	59.012967210014686	0.2500862591686591	0.2677907536532742	0.24005189705879468	0.24207109011927194	0.7163509644098128
10000	-12289.693802543337	-12300.576410395626	0.00889126540417494	0.00600115	11	0.0014966843588887799	59.012967210014686	0.24382626408245725	0.2677907536532742	0.24631189214499655	0.24207109011927194	0.8099203169795662
12000	-11681.058915067253	-11681.590988426935	0.01981294441970837	0.00516636	17	1.4871015541019576E-4	59.00196530825	0.24097428639455903	0.27094113557625427	0.24601348790991473	0.24207109011927194	0.8727420573717642
14000	-11605.709513642707	-11595.158231395737	0.06680212969822152	0.00324363	17	6.094768837464923E-5	59.60103600927691	0.24097428639455903	0.27094113557625427	0.24601348790991473	0.24207109011927194	1.0656581301492025
16000	-11598.87860865049	-11581.401429401654	0.10989233749642302	0.00260366	19	2.4141598306203607E-5	63.01325782146874	0.24097428639455903	0.27094113557625427	0.24601348790991473	0.24207109011927194	1.4100757004721132
18000	-11585.021600595046	-11568.330908796612	0.19608675107010348	0.00381207	15	2.779655987436643E-5	60.327490666099834	0.2472864965081621	0.2774434571866941	0.24392784016726166	0.23134220613788214	1.6090469201843887
20000	-11580.522602858704	-11564.578674373153	0.17450749378230815	0.00411641	12	3.545943815561597E-5	59.89437869550792	0.2460672793317903	0.2774434571866941	0.25511102928410884	0.22137823419740674	1.6776886859209843
22000	-11584.902734687561	-11563.622250712924	0.19859089194160864	0.00480232	19	2.407262426852208E-5	64.6791200141292	0.2518130756424291	0.2749071674083987	0.2508217910878199	0.22245796586135225	1.816849540689232
24000	-11581.578692983327	-11561.412182259652	0.21397808052611578	0.00251312	16	2.2821010723392644E-5	63.787802467423425	0.2559238586537684	0.26715632291810365	0.25446185256677567	0.22245796586135225	1.8995494798152683
26000	-11591.994080566898	-11568.467082932222	0.30128364356664505	0.00378225	18	3.0080080475271358E-5	64.70308882482665	0.24657016401836024	0.26715632291810365	0.2638155472021838	0.22245796586135225	1.8995494798152683
28000	-11586.868783144859	-11564.811260846458	0.7476772637480342	0.00293742	10	1.7505759204608905E-5	63.924984685816476	0.24233145548105756	0.27139503145540633	0.2638155472021838	0.22245796586135225	1.8995494798152683
30000	-11584.22639159064	-11556.95943665497	0.7325214561084509	0.00473788	15	1.6053948192476684E-5	71.77317384807287	0.24233145548105756	0.2807387689310341	0.25986004914431904	0.2170697264435892	2.3528072487027996
32000	-11580.554567482135	-11556.66388316903	0.36233106681014643	0.00226189	12	3.049286232923808E-5	66.87431742130367	0.2425750072119649	0.2807387689310341	0.25986004914431904	0.21682617471268187	2.5236740721602375
34000	-11577.416087015206	-11556.902708144493	0.4205102136324472	0.00323156	14	2.142775270138983E-5	65.6324027986989	0.23815400277167156	0.2807387689310341	0.26428105358461235	0.21682617471268187	2.9534817673518883
36000	-11575.101342369397	-11551.550884646906	0.7884827563276504	0.00311999	12	2.1551438666619E-5	65.35849270621699	0.23815400277167156	0.2807387689310341	0.26428105358461235	0.21682617471268187	5.092083041373688
38000	-11573.047418794382	-11554.656737038624	0.3155957207875323	0.00289972	13	2.0534761447867538E-5	64.6254885172614	0.23815400277167156	0.2863547591235437	0.26428105358461235	0.21121018452017232	5.092083041373688
40000	-11577.181620075069	-11551.613204950998	0.7322599324639326	0.00386434	14	1.6939149283923275E-5	70.66339714385163	0.24157043352784305	0.2829383283673722	0.26428105358461235	0.21121018452017232	5.570378003281968
42000	-11575.064853443031	-11551.134491140416	0.6954255296797083	0.00457154	13	2.008769200813531E-5	65.49849369170288	0.24157043352784305	0.2829383283673722	0.26428105358461235	0.21121018452017232	6.803872863386133
44000	-11577.905279808381	-11551.177978582082	0.6403401260084525	0.00369498	15	1.846168661396496E-5	69.02471399829508	0.25104535453562066	0.2701716796273424	0.2614204766735579	0.21736248916347903	8.863317275146127
46000	-11577.886048149081	-11551.852908311934	0.3471346955198574	0.00507623	14	2.3273204429934985E-5	65.87608497311903	0.25104535453562066	0.2701716796273424	0.2614204766735579	0.21736248916347903	14.65190384154812
48000	-11580.980339622824	-11552.350430769107	0.8942500667908256	0.00406372	16	1.5984598203791605E-5	73.9201151893336	0.25104535453562066	0.2699571489890043	0.2614204766735579	0.21757701980181712	11.287217914171404
